status,project,additional,timePlayed
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T11:53:37Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-03T11:54:06Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-03T11:54:06Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T11:54:54Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-03T11:55:12Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-03T11:54:06Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-03T11:54:06Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T11:54:54Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-03T11:55:12Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T11:56:05Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-03T11:56:32Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T11:57:29Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-03T11:57:37Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T11:56:05Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-03T11:56:32Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T11:57:29Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-03T11:57:37Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T11:58:54Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-03T11:59:11Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T11:58:54Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-03T11:59:11Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T12:37:04Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-03T12:37:26Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T12:37:04Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-03T12:37:26Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T12:38:51Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-03T12:39:15Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T12:38:51Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-03T12:39:15Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T12:40:25Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-03T12:41:35Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T12:40:25Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-03T12:41:35Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T12:49:30Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T12:49:30Z
TERMOS_ABANDONADO,66f479e271aa00601b17fe4f,,2025-04-03T12:50:56Z
TERMOS_ABANDONADO,66f479e271aa00601b17fe4f,,2025-04-03T12:50:56Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T12:52:10Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T12:52:10Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T12:55:51Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T12:55:51Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-03T12:56:16Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-03T12:56:16Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T12:59:17Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-03T12:59:40Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T12:59:17Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-03T12:59:40Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T13:00:46Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T13:00:46Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T13:02:01Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T13:03:41Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T13:02:01Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T13:03:41Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T13:05:09Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T13:05:09Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T13:06:27Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-03T13:06:50Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T13:07:52Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-03T13:07:55Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-03T13:07:56Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-03T13:07:56Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T13:06:27Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-03T13:06:50Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T13:07:52Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-03T13:07:55Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-03T13:07:56Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-03T13:07:56Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T13:09:04Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T13:09:04Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T13:59:58Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T13:59:58Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-03T14:00:18Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-03T14:00:18Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T14:15:35Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T14:15:35Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-03T14:16:07Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T14:17:15Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-03T14:17:47Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-03T14:16:07Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T14:17:15Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-03T14:17:47Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T14:30:11Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T14:30:11Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T14:42:39Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T14:42:39Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T14:52:24Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T14:53:37Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-03T14:53:59Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T14:52:24Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T14:53:37Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-03T14:53:59Z
TERMOS_ABANDONADO,66f479e271aa00601b17fe4f,,2025-04-03T15:11:52Z
TERMOS_ABANDONADO,66f479e271aa00601b17fe4f,,2025-04-03T15:11:52Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T15:17:58Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T15:17:58Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T15:19:11Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-03T15:19:30Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T15:19:11Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-03T15:19:30Z
